Unnamed: 0,hash,origin,title,author,published,url,text,finbert_score,neg,neu,pos,compound,index,preprocess_txt,pos_count,neg_count,sentiment_m2
0,01edbe3e86ce108b9289f5cec5204e04b5d3b6808689fd0d4ae97edfa0fa4b07,binance_news,CMC Altcoin Season Index Stands at 25,Binance News,2025-10-23 00:00,https://www.binance.com/en/square/post/10-23-2025-cmc-altcoin-season-index-stands-at-25-31391953485537,"According to CoinMarketCap (CMC) data, the CMC Altcoin Season Index currently stands at 25. The index measures market performance by analyzing the top 100 cryptocurrencies by market capitalization to determine whether the market is shifting towards altcoins or Bitcoin dominance.  ﻿ #BTC ",neutral,0.0,0.917,0.083,0.3818,0,"['according', 'coinmarketcap', 'cmc', 'data', 'cmc', 'altcoin', 'season', 'index', 'currently', 'stand', 'index', 'measure', 'market', 'performance', 'analyzing', 'top', 'cryptocurrencies', 'market', 'capitalization', 'determine', 'whether', 'market', 'shifting', 'towards', 'altcoins', 'bitcoin', 'dominance', 'btc']",1,0,1.0
1,512b019064aa3065975b756231903bf97643b5b1b4f656a9f82275630cd224e4,binance_news,Willy Woo: Shift in Market Liquidity Shows Decline in Speculative Capital,Binance News,2025-10-20 00:00,https://www.binance.com/en/square/post/10-20-2025-willy-woo-shift-in-market-liquidity-shows-decline-in-speculative-capital-31273684546218,"Key TakeawaysAnalyst Willy Woo says market liquidity is shifting away from short-term speculative traders.Derivatives-driven liquidity that dominated the last bull cycle is weakening.Spot liquidity from long-term holders remains steady but could signal risk if it declines.According to BlockBeats, crypto analyst Willy Woo observed a major transformation in the liquidity structure of the cryptocurrency market.During the previous bull cycle, market liquidity was heavily driven by short-term speculative capital — often referred to as “paper hands” — concentrated in the derivatives sector. These traders provided high volatility but lacked long-term commitment to holding assets.Woo noted that this dynamic is now changing. Derivatives liquidity is waning, while spot market liquidity from long-term investors remains stable. He cautioned, however, that this stability does not imply the start of a new bullish super cycle.“If spot liquidity from long-term holders begins to weaken, the market could quickly shift into a bearish phase,” Woo warned.",neutral,0.053,0.779,0.168,0.9623,0,"['key', 'takeawaysanalyst', 'willy', 'woo', 'say', 'market', 'liquidity', 'shifting', 'away', 'short', 'term', 'speculative', 'trader', 'derivative', 'driven', 'liquidity', 'dominated', 'last', 'bull', 'cycle', 'weakening', 'spot', 'liquidity', 'long', 'term', 'holder', 'remains', 'steady', 'could', 'signal', 'risk', 'decline', 'according', 'blockbeats', 'crypto', 'analyst', 'willy', 'woo', 'observed', 'major', 'transformation', 'liquidity', 'structure', 'cryptocurrency', 'market', 'previous', 'bull', 'cycle', 'market', 'liquidity', 'heavily', 'driven', 'short', 'term', 'speculative', 'capital', 'often', 'referred', 'paper', 'hand', 'concentrated', 'derivative', 'sector', 'trader', 'provided', 'high', 'volatility', 'lacked', 'long', 'term', 'commitment', 'holding', 'asset', 'woo', 'noted', 'dynamic', 'changing', 'derivative', 'liquidity', 'waning', 'spot', 'market', 'liquidity', 'long', 'term', 'investor', 'remains', 'stable', 'cautioned', 'however', 'stability', 'imply', 'start', 'new', 'bullish', 'super', 'cycle', 'spot', 'liquidity', 'long', 'term', 'holder', 'begin', 'weaken', 'market', 'could', 'quickly', 'shift', 'bearish', 'phase', 'woo', 'warned']",12,9,1.2
2,e51896f3722a49deedc358b2851a224bfac1042adbe3a5c00231c1c8ad02df71,binance_news,21Shares Files for New Injective (INJ) ETF,Binance News,2025-10-20 00:00,https://www.binance.com/en/square/post/10-20-2025-21shares-files-for-new-injective-inj-etf-31276488845249,"According to ChainCatcher, 21Shares has filed an application to launch a new Injective (INJ) ETF, as disclosed on Injective’s official X (formerly Twitter) account.The move highlights growing institutional interest in DeFi-focused blockchain assets, following a wave of spot Bitcoin and Ethereum ETF approvals across major markets.If approved, the INJ ETF could provide traditional investors with regulated exposure to one of the fastest-growing Layer-1 DeFi ecosystems in the crypto market. #BTC #ETF #ETH ",positive,0.0,0.876,0.124,0.802,0,"['according', 'chaincatcher', 'share', 'filed', 'application', 'launch', 'new', 'injective', 'inj', 'etf', 'disclosed', 'injective', 'official', 'x', 'formerly', 'twitter', 'account', 'move', 'highlight', 'growing', 'institutional', 'interest', 'defi', 'focused', 'blockchain', 'asset', 'following', 'wave', 'spot', 'bitcoin', 'ethereum', 'etf', 'approval', 'across', 'major', 'market', 'approved', 'inj', 'etf', 'could', 'provide', 'traditional', 'investor', 'regulated', 'exposure', 'one', 'fastest', 'growing', 'layer', 'defi', 'ecosystem', 'crypto', 'market', 'btc', 'etf', 'eth']",2,0,2.0
3,c0cc610d5bc34f1500b8a6b0f9fffbcae99b7bed326f63f136d1d5cc9863fe47,binance_news,"Binance to Launch Turtle (TURTLE) Promotions with 2,125,000 Token Prize Pool",Binance News,2025-10-22 00:00,https://www.binance.com/en/square/post/10-22-2025-binance-to-launch-turtle-turtle-promotions-with-2-125-000-token-prize-pool-31356553891778,"According to the announcement from Binance, the platform is set to introduce Turtle (TURTLE), a liquidity distribution protocol, on Binance Spot. To mark this new listing, Binance will host three promotional events, offering a total prize pool of 2,125,000 TURTLE in token vouchers. The promotion period is scheduled from 2025-10-22 14:00 (UTC) to 2025-11-05 14:00 (UTC).Promotion A: New Users ExclusiveThis promotion is designed for new users who register with Binance during the promotion period. Eligible participants must deposit a cumulative amount of at least 100 USD equivalent in USDT, USDC, or TURTLE via Binance P2P, card, or crypto deposit. The first 4,250 users to meet these criteria will receive a randomly generated reward ranging from 17 to 67 TURTLE in token vouchers.Promotion B: Open to All UsersAll verified regular and VIP users can participate in this promotion by trading a cumulative amount of at least 500 USD equivalent in eligible TURTLE pairs, including TURTLE/USDT, TURTLE/USDC, TURTLE/BNB, and TURTLE/TRY. The first 10,200 users to qualify will earn a reward between 7 and 40 TURTLE in token vouchers.Promotion C: Trading Volume TournamentThis tournament is open to all verified regular and VIP users, excluding liquidity providers and Binance Brokers. Participants must trade a cumulative amount of at least 1,000 USD equivalent in eligible TURTLE pairs. Rewards are calculated based on the user's trading volume relative to the total trading volume of all eligible participants, with a cap of 2,666 TURTLE per user.Token vouchers for all promotions will be distributed by 2025-11-19 and will expire within 21 days. Binance reserves the right to amend or cancel the promotions at its discretion.#BNB #USDT #USDC ",neutral,0.007,0.914,0.079,0.9677,0,"['according', 'announcement', 'binance', 'platform', 'set', 'introduce', 'turtle', 'turtle', 'liquidity', 'distribution', 'protocol', 'binance', 'spot', 'mark', 'new', 'listing', 'binance', 'host', 'three', 'promotional', 'event', 'offering', 'total', 'prize', 'pool', 'turtle', 'token', 'voucher', 'promotion', 'period', 'scheduled', 'utc', 'utc', 'promotion', 'new', 'user', 'exclusivethis', 'promotion', 'designed', 'new', 'user', 'register', 'binance', 'promotion', 'period', 'eligible', 'participant', 'must', 'deposit', 'cumulative', 'amount', 'least', 'usd', 'equivalent', 'usdt', 'usdc', 'turtle', 'via', 'binance', 'p', 'p', 'card', 'crypto', 'deposit', 'first', 'user', 'meet', 'criterion', 'receive', 'randomly', 'generated', 'reward', 'ranging', 'turtle', 'token', 'voucher', 'promotion', 'b', 'open', 'usersall', 'verified', 'regular', 'vip', 'user', 'participate', 'promotion', 'trading', 'cumulative', 'amount', 'least', 'usd', 'equivalent', 'eligible', 'turtle', 'pair', 'including', 'turtle', 'usdt', 'turtle', 'usdc', 'turtle', 'bnb', 'turtle', 'try', 'first', 'user', 'qualify', 'earn', 'reward', 'turtle', 'token', 'voucher', 'promotion', 'c', 'trading', 'volume', 'tournamentthis', 'tournament', 'open', 'verified', 'regular', 'vip', 'user', 'excluding', 'liquidity', 'provider', 'binance', 'broker', 'participant', 'must', 'trade', 'cumulative', 'amount', 'least', 'usd', 'equivalent', 'eligible', 'turtle', 'pair', 'reward', 'calculated', 'based', 'user', 'trading', 'volume', 'relative', 'total', 'trading', 'volume', 'eligible', 'participant', 'cap', 'turtle', 'per', 'user', 'token', 'voucher', 'promotion', 'distributed', 'expire', 'within', 'day', 'binance', 'reserve', 'right', 'amend', 'cancel', 'promotion', 'discretion', 'bnb', 'usdt', 'usdc']",6,2,2.0
4,85d6889b18f0adcc2dc3c2e1993ae70b7570dbb7e0b44ee34a173c89dc0180a8,binance_news,"Binance Market Update: Crypto Market Trends | October 23, 2025",Binance News,2025-10-23 00:00,https://www.binance.com/en/square/post/10-23-2025-binance-market-update-crypto-market-trends-october-23-2025-31396166209873,"According to CoinMarketCap data, the global cryptocurrency market cap now stands at $3.69T, up by 1.3% over the last 24 hours.Bitcoin (BTC) traded between $106,667 and $110,298 over the past 24 hours. As of 09:30 AM (UTC) today, BTC is trading at $109,410, up by 1.13%.Most major cryptocurrencies by market cap are trading mixed. Market outperformers include YB, SOPH, and TURTLE, up by 29%, 20%, and 17%, respectively.Top stories of the day:Quantum Solutions Adds 2,000 ETH, Becomes 11th-Largest Ethereum Treasury Company Altcoin ETFs Gain Momentum as U.S. Government Shutdown Stalls SEC Reviews Gold Prices Rise Amid U.S. Government Shutdown and Geopolitical Tensions Bitcoin Miner Debt Surges 500% as Industry Gears Up for Hashrate Arms Race Tesla Books $80 Million Profit on Bitcoin Holdings in Q3 U.S. September CPI Data Likely to Mirror August Trends, Says Economist  BNB Chain Sees $1.1B Cross-Chain Inflows in 30 Days, Led by deBridge U.S. Senate Fails to Pass Temporary Funding Bill Amid Ongoing Government Shutdown U.S. Federal Debt Surpasses $38 Trillion Mark Fed Loses Access to Private Employment Data as U.S. Government Shutdown Limits Economic VisibilityMarket movers:ETH: $3887.98 (+0.98%)BNB: $1106 (+3.72%)XRP: $2.4108 (+0.75%)SOL: $188.6 (+2.26%)DOGE: $0.19466 (+1.83%)TRX: $0.3226 (-0.52%)ADA: $0.6401 (+0.98%)WBTC: $109435.62 (+1.11%)WLFI: $0.127 (+2.09%)LINK: $17.5 (+0.17%)#BTC #SEC #ETF #BNB #XRP #ETH ",positive,0.046,0.909,0.045,-0.0772,0,"['according', 'coinmarketcap', 'data', 'global', 'cryptocurrency', 'market', 'cap', 'stand', 'last', 'hour', 'bitcoin', 'btc', 'traded', 'past', 'hour', 'utc', 'today', 'btc', 'trading', 'major', 'cryptocurrencies', 'market', 'cap', 'trading', 'mixed', 'market', 'outperformers', 'include', 'yb', 'soph', 'turtle', 'respectively', 'top', 'story', 'day', 'quantum', 'solution', 'add', 'eth', 'becomes', 'th', 'largest', 'ethereum', 'treasury', 'company', 'altcoin', 'etf', 'gain', 'momentum', 'u', 'government', 'shutdown', 'stall', 'sec', 'review', 'gold', 'price', 'rise', 'amid', 'u', 'government', 'shutdown', 'geopolitical', 'tension', 'bitcoin', 'miner', 'debt', 'surge', 'industry', 'gear', 'hashrate', 'arm', 'race', 'tesla', 'book', 'million', 'profit', 'bitcoin', 'holding', 'q', 'u', 'september', 'cpi', 'data', 'likely', 'mirror', 'august', 'trend', 'say', 'economist', 'bnb', 'chain', 'see', 'b', 'cross', 'chain', 'inflow', 'day', 'led', 'debridge', 'u', 'senate', 'fails', 'pas', 'temporary', 'funding', 'bill', 'amid', 'ongoing', 'government', 'shutdown', 'u', 'federal', 'debt', 'surpasses', 'trillion', 'mark', 'fed', 'loses', 'access', 'private', 'employment', 'data', 'u', 'government', 'shutdown', 'limit', 'economic', 'visibilitymarket', 'mover', 'eth', 'bnb', 'xrp', 'sol', 'doge', 'trx', 'ada', 'wbtc', 'wlfi', 'link', 'btc', 'sec', 'etf', 'bnb', 'xrp', 'eth']",4,7,0.5
5,074d9d91dc988b46c101bd4fbc8365b2b321bf254f28ff8c48bcb4b874bf4270,binance_news,Malaysia Nears Trade Agreement with U.S. Amid Tariff Concerns,Binance News,2025-10-22 00:00,https://www.binance.com/en/square/post/10-22-2025-malaysia-nears-trade-agreement-with-u-s-amid-tariff-concerns-31360327802306,"According to BlockBeats, Malaysian Prime Minister Anwar Ibrahim announced that the country is close to finalizing a trade agreement with the United States following the imposition of high tariffs on Malaysian goods by U.S. President Donald Trump. Anwar stated on Wednesday evening in Putrajaya that 99.9% of the issues have been resolved, with the remaining matters expected to be finalized at a cabinet meeting on Friday.The two nations aim to conclude negotiations during Trump's visit to Kuala Lumpur later this month for the ASEAN summit. Currently, Malaysian exports to the U.S. face a 19% tariff, and there is concern in Southeast Asia about potential additional tariffs on semiconductors.",positive,0.0,0.92,0.08,0.7783,0,"['according', 'blockbeats', 'malaysian', 'prime', 'minister', 'anwar', 'ibrahim', 'announced', 'country', 'close', 'finalizing', 'trade', 'agreement', 'united', 'state', 'following', 'imposition', 'high', 'tariff', 'malaysian', 'good', 'u', 'president', 'donald', 'trump', 'anwar', 'stated', 'wednesday', 'evening', 'putrajaya', 'issue', 'resolved', 'remaining', 'matter', 'expected', 'finalized', 'cabinet', 'meeting', 'friday', 'two', 'nation', 'aim', 'conclude', 'negotiation', 'trump', 'visit', 'kuala', 'lumpur', 'later', 'month', 'asean', 'summit', 'currently', 'malaysian', 'export', 'u', 'face', 'tariff', 'concern', 'southeast', 'asia', 'potential', 'additional', 'tariff', 'semiconductor']",3,3,0.75
6,473fa9899be340d4a9631a22822490eebdb2baee6c1ac62e0681bcc39395d412,binance_news,"Hong Kong Approves First Solana Spot ETF, Listing Set for October 27",Binance News,2025-10-22 00:00,https://www.binance.com/en/square/post/10-22-2025-hong-kong-approves-first-solana-spot-etf-listing-set-for-october-27-31356705768105,"Key TakeawaysThe Hong Kong Securities and Futures Commission (SFC) has approved the first Solana (SOL) spot ETF, issued by China Asset Management (Hong Kong).The ETF, trading under ticker: 03460, is set to list on the Hong Kong Stock Exchange (HKEX) on October 27.This marks the third crypto spot ETF approved in Hong Kong — following Bitcoin and Ether funds — and the first Solana ETF in Asia.The fund will carry a management fee of 0.99%, targeting investors seeking institutional exposure to the Solana ecosystem.Hong Kong Expands Crypto ETF Offerings with Solana ApprovalAccording to Wu Shuo, the Hong Kong Securities and Futures Commission (SFC) has officially approved the region’s first Solana (SOL) spot exchange-traded fund (ETF), further cementing Hong Kong’s role as a regulated hub for digital asset investment products.Issued by China Asset Management (Hong Kong), the Solana ETF represents a major milestone for multi-asset crypto exposure in traditional financial markets. It joins previously approved Bitcoin and Ether spot ETFs, marking Hong Kong’s third crypto spot fund and the first in Asia to feature Solana.ETF Launch Signals Institutional Expansion into SolanaThe Solana ETF, listed under ticker 03460, will debut on the Hong Kong Stock Exchange (HKEX) on October 27. With a management fee of 0.99%, it provides institutional and retail investors a regulated vehicle to gain exposure to Solana’s growing DeFi and NFT ecosystem without direct token custody.Market observers note that the approval reflects rising institutional demand for diversified blockchain investments beyond Bitcoin and Ethereum. Hong Kong continues to position itself as a regional leader in crypto financial innovation, with more multi-asset ETF applications expected in the coming months.#BTC #ETF #NFT ",neutral,0.005,0.871,0.124,0.9831,0,"['key', 'takeawaysthe', 'hong', 'kong', 'security', 'future', 'commission', 'sfc', 'approved', 'first', 'solana', 'sol', 'spot', 'etf', 'issued', 'china', 'asset', 'management', 'hong', 'kong', 'etf', 'trading', 'ticker', 'set', 'list', 'hong', 'kong', 'stock', 'exchange', 'hkex', 'october', 'mark', 'third', 'crypto', 'spot', 'etf', 'approved', 'hong', 'kong', 'following', 'bitcoin', 'ether', 'fund', 'first', 'solana', 'etf', 'asia', 'fund', 'carry', 'management', 'fee', 'targeting', 'investor', 'seeking', 'institutional', 'exposure', 'solana', 'ecosystem', 'hong', 'kong', 'expands', 'crypto', 'etf', 'offering', 'solana', 'approvalaccording', 'wu', 'shuo', 'hong', 'kong', 'security', 'future', 'commission', 'sfc', 'officially', 'approved', 'region', 'first', 'solana', 'sol', 'spot', 'exchange', 'traded', 'fund', 'etf', 'cementing', 'hong', 'kong', 'role', 'regulated', 'hub', 'digital', 'asset', 'investment', 'product', 'issued', 'china', 'asset', 'management', 'hong', 'kong', 'solana', 'etf', 'represents', 'major', 'milestone', 'multi', 'asset', 'crypto', 'exposure', 'traditional', 'financial', 'market', 'join', 'previously', 'approved', 'bitcoin', 'ether', 'spot', 'etf', 'marking', 'hong', 'kong', 'third', 'crypto', 'spot', 'fund', 'first', 'asia', 'feature', 'solana', 'etf', 'launch', 'signal', 'institutional', 'expansion', 'solanathe', 'solana', 'etf', 'listed', 'ticker', 'debut', 'hong', 'kong', 'stock', 'exchange', 'hkex', 'october', 'management', 'fee', 'provides', 'institutional', 'retail', 'investor', 'regulated', 'vehicle', 'gain', 'exposure', 'solana', 'growing', 'defi', 'nft', 'ecosystem', 'without', 'direct', 'token', 'custody', 'market', 'observer', 'note', 'approval', 'reflects', 'rising', 'institutional', 'demand', 'diversified', 'blockchain', 'investment', 'beyond', 'bitcoin', 'ethereum', 'hong', 'kong', 'continues', 'position', 'regional', 'leader', 'crypto', 'financial', 'innovation', 'multi', 'asset', 'etf', 'application', 'expected', 'coming', 'month', 'btc', 'etf', 'nft']",4,0,4.0
7,4a135d37b52020b780852a6d80c1c6a7c4811b0b5120a26e57271186f5aa55f7,binance_news,BTC Short Position Reaches Significant Value Amid Market Fluctuations,Binance News,2025-10-20 00:00,https://www.binance.com/en/square/post/10-20-2025-btc-short-position-reaches-significant-value-amid-market-fluctuations-31273082914873,"According to Foresight News, monitoring by @ai_9684xtpa reveals that the entity known as 'Insider Bigwig' holds a short position of 1,000 BTC, valued at approximately $111 million. The opening price for this BTC position was $109,672.2, currently resulting in an unrealized loss of about $1.309 million.#BTC ",neutral,0.048,0.892,0.06,0.1531,0,"['according', 'foresight', 'news', 'monitoring', 'ai', 'xtpa', 'reveals', 'entity', 'known', 'insider', 'bigwig', 'hold', 'short', 'position', 'btc', 'valued', 'approximately', 'million', 'opening', 'price', 'btc', 'position', 'currently', 'resulting', 'unrealized', 'loss', 'million', 'btc']",1,1,0.5
8,28c9eda2721480abd78362a9e836957c74cc39edbf6a4d0de35b7dd9d75e300b,binance_news,U.S. Bitcoin ETFs See $449M Outflow as Ethereum ETFs Shed $284M,Binance News,2025-10-20 00:00,https://www.binance.com/en/square/post/10-20-2025-u-s-bitcoin-etfs-see-449m-outflow-as-ethereum-etfs-shed-284m-31276856538514,"According to TechFlow, citing Lookonchain data, U.S. Bitcoin ETFs recorded a combined net outflow of 4,047 BTC on October 20, worth approximately $449.51 million at current market prices.Meanwhile, Ethereum ETFs also experienced heavy withdrawals, with 9 funds seeing a net outflow of 70,488 ETH, equivalent to around $284.28 million.The data underscores persistent investor caution following last week’s crypto market volatility and ongoing macroeconomic uncertainty surrounding the Federal Reserve’s rate policy and the U.S. government shutdown.#BTC #ETF #ETH ",negative,0.031,0.944,0.025,-0.128,0,"['according', 'techflow', 'citing', 'lookonchain', 'data', 'u', 'bitcoin', 'etf', 'recorded', 'combined', 'net', 'outflow', 'btc', 'october', 'worth', 'approximately', 'million', 'current', 'market', 'price', 'meanwhile', 'ethereum', 'etf', 'also', 'experienced', 'heavy', 'withdrawal', 'fund', 'seeing', 'net', 'outflow', 'eth', 'equivalent', 'around', 'million', 'data', 'underscore', 'persistent', 'investor', 'caution', 'following', 'last', 'week', 'crypto', 'market', 'volatility', 'ongoing', 'macroeconomic', 'uncertainty', 'surrounding', 'federal', 'reserve', 'rate', 'policy', 'u', 'government', 'shutdown', 'btc', 'etf', 'eth']",1,1,0.5
9,a9991a92157517203af96b01be87e967cf92ae8918aa64043a856b008e9d0231,binance_news,"Ethereum (ETH) Surpasses 3,900 USDT with a 1.06% Increase in 24 Hours",Binance News,2025-10-23 00:00,https://www.binance.com/en/square/post/10-23-2025-ethereum-eth-surpasses-3-900-usdt-with-a-1-06-increase-in-24-hours-31393985791426,"According to Binance Market Data, Ethereum (ETH) crossed the 3,900 USDT benchmark and is now trading at 3,900.100098 USDT, with a 1.06% increase in 24 hours.#ETH ",positive,0.0,0.913,0.087,0.3182,0,"['according', 'binance', 'market', 'data', 'ethereum', 'eth', 'crossed', 'usdt', 'benchmark', 'trading', 'usdt', 'increase', 'hour', 'eth']",0,0,0.0
